N_MEASUREMENT,LATITUDE,LONGITUDE,PRES,TEMP,PSAL
752,19.212,-59.55000000000001,,,
753,19.209,-59.55000000000001,,,
754,19.206,-59.547000000000025,,,
755,,,,,
756,,,,,
757,,,,,
758,,,,,
759,,,30.0,,
760,,,570.0,,
761,,,,,
762,,,618.0,10.818,35.398
763,,,622.0,10.607,35.356
764,,,628.0,10.584,35.348
765,,,629.0,10.577,35.351
766,,,627.0,10.621,35.374
767,,,627.0,10.853,35.406
768,,,619.0,10.966,35.429
769,,,623.0,10.793,35.395
770,,,625.0,10.806,35.397
771,,,625.0,10.925,35.415
772,,,621.0,10.799,35.396
773,,,642.0,10.008,35.281
774,,,646.0,10.163,35.296
775,,,650.0,10.605,35.365
776,,,625.0,10.824,35.404
777,,,642.0,9.862,35.259
778,,,576.0,11.409,35.473
779,,,560.0,12.12,35.594
780,,,610.0,11.039,35.41
781,,,609.0,10.993,35.426
782,,,613.0,10.953,35.424
783,,,610.0,11.058,35.437
784,,,612.0,11.017,35.431
785,,,616.0,10.805,35.398
786,,,616.0,10.474,35.367
787,,,621.0,10.79,35.394
788,,,619.0,10.785,35.396
789,,,,,
790,,,549.0,,
791,,,653.0,,
792,,,619.6667,10.787185,35.393333
793,,,2010.0,,
794,,,,,
795,,,,,
796,,,2000.0,,
797,,,2010.0,,
798,,,2006.0,3.663,34.981
799,,,2006.0,3.663,34.981
800,,,1838.0,3.962,34.997
801,,,1663.0,4.233,35.0
802,,,1488.0,4.671,35.012
803,,,1313.0,5.137,35.005
804,,,1137.0,5.597,34.947
805,,,1013.0,5.831,34.846
806,,,838.0,6.857,34.873
807,,,663.0,9.781,35.242
808,,,488.0,13.259,35.769
809,,,363.0,16.361,36.275
810,,,265.0,18.463,36.606
811,,,216.0,19.705,36.759
812,,,125.0,23.775,37.224
813,,,96.0,25.034,37.209
814,,,10.0,28.785,34.863
815,,,7.0,28.788,34.862
816,,,,,
817,,,,,
818,,,,,
819,19.046,-59.38299999999998,,,
820,19.045,-59.384000000000015,,,
821,19.043,-59.382000000000005,,,
822,19.04,-59.384000000000015,,,
823,19.039,-59.384000000000015,,,
824,19.037,-59.382000000000005,,,
825,19.036,-59.387,,,
826,19.037,-59.38900000000001,,,
827,19.033,-59.38900000000001,,,
828,19.032,-59.391999999999996,,,
829,19.031,-59.396000000000015,,,
830,,,,,
831,,,,,
832,,,,,
833,,,,,
834,,,30.0,,
835,,,610.0,,
836,,,,,
837,,,651.0,9.671,35.185
838,,,606.0,10.345,35.265
839,,,585.0,10.844,35.359
840,,,582.0,10.887,35.378
841,,,583.0,10.88,35.373
842,,,592.0,10.776,35.348
843,,,603.0,10.636,35.298
844,,,595.0,10.805,35.331
845,,,589.0,10.779,35.345
846,,,589.0,10.879,35.372
847,,,597.0,10.72,35.328
848,,,589.0,10.822,35.357
849,,,589.0,10.719,35.348
850,,,610.0,10.367,35.277
851,,,607.0,10.316,35.27
852,,,609.0,10.392,35.283
853,,,610.0,10.257,35.263
854,,,610.0,10.249,35.262
855,,,626.0,10.1,35.237
856,,,598.0,10.841,35.359
857,,,603.0,10.352,35.279
858,,,616.0,10.243,35.261
859,,,616.0,10.276,35.251
860,,,612.0,10.209,35.248
861,,,626.0,9.862,35.205
862,,,625.0,9.852,35.201
863,,,626.0,10.065,35.229
864,,,,,
865,,,579.0,,
866,,,652.0,,
867,,,605.3333,10.449778,35.293037
868,,,1990.0,,
869,,,,,
870,,,,,
871,,,1990.0,,
872,,,1990.0,,
873,,,1989.0,3.693,34.988
874,,,1989.0,3.693,34.988
875,,,1813.0,3.957,34.992
876,,,1638.0,4.312,35.005
877,,,1463.0,4.746,35.015
878,,,1288.0,5.203,34.998
879,,,1113.0,5.707,34.943
880,,,988.0,5.869,34.831
881,,,763.0,7.927,34.981
882,,,639.0,9.876,35.22
883,,,463.0,13.713,35.834
884,,,346.0,16.511,36.299
885,,,255.0,18.355,36.59
886,,,206.0,19.518,36.725
887,,,115.0,24.198,37.25
888,,,66.0,26.228,37.162
889,,,9.0,28.902,35.025
890,,,4.0,28.898,35.026
891,,,,,
892,,,,,
893,,,,,
894,18.804,-59.238,,,
895,18.802,-59.238,,,
896,18.796,-59.245000000000005,,,
897,18.793,-59.250999999999976,,,
898,18.792,-59.252999999999986,,,
899,18.79,-59.24799999999999,,,
900,18.789,-59.24599999999998,,,
901,18.787,-59.250999999999976,,,
902,18.784,-59.247000000000014,,,
903,18.779,-59.249000000000024,,,
904,18.777,-59.24799999999999,,,
905,18.769,-59.24599999999998,,,
906,18.762,-59.250999999999976,,,
907,,,,,
908,,,,,
909,,,,,
910,,,,,
911,,,20.0,,
912,,,610.0,,
913,,,,,
914,,,630.0,9.746,35.177
915,,,633.0,9.418,35.121
916,,,641.0,9.395,35.122
917,,,637.0,9.703,35.164
918,,,636.0,9.707,35.167
919,,,638.0,9.458,35.144
920,,,639.0,9.507,35.14
921,,,638.0,9.473,35.152
922,,,641.0,9.703,35.17
923,,,639.0,9.439,35.129
924,,,643.0,9.48,35.137
925,,,639.0,9.72,35.174
926,,,635.0,9.618,35.159
927,,,642.0,9.45,35.135
928,,,642.0,9.471,35.148
929,,,649.0,9.45,35.133
930,,,644.0,9.443,35.133
931,,,647.0,9.448,35.134
932,,,644.0,9.448,35.134
933,,,648.0,9.462,35.136
934,,,641.0,9.506,35.152
935,,,644.0,9.367,35.141
936,,,649.0,9.242,35.118
937,,,598.0,9.916,35.162
938,,,590.0,10.402,35.236
939,,,584.0,10.401,35.235
940,,,599.0,9.918,35.165
941,,,,,
942,,,582.0,,
943,,,651.0,,
944,,,633.7037,9.603371,35.15252
945,,,1980.0,,
946,,,,,
947,,,,,
948,,,1970.0,,
949,,,1980.0,,
